Id_comuna;Id_comisaria;Nombre_comisaria;DirecciÛn;Fono;;Tipo;;;;;
2203;;RETEN TOCORPURI (F);RUTA B-245;55-2755365;;RETEN;;;;;
2203;;RETEN TOCONAO (F);AVENIDA NORTE N∞ 55;55 - 2 755276;;RETEN;;;;;
2203;;RETEN SOCAIRE (T. F.);RUTA 23 CH KIL”METRO 287.;55-755295;;RETEN;;;;;
2301;;4A. COMISARÕA DE TOCOPILLA;21 DE MAYO NÔøΩ 1666;55 - 2 755174;;COMISARIA;;;;;
2302;;TENENCIA MARIA ELENA (M.C);PEDRO MONTT S/N;55 - 2 755194;;TENENCIA;;;;;
3101;;PREFECTURA DE CARABINEROS ATACAMA N 5;LIBERTADOR BERNARDO OHIGGINS N 753;52 - 2552014;;PREFECTURA;;;;;
3101;;TENENCIA CARRETERA ATACAMA NORTE;RUTA 5 NORTE KM 486;52 - 2 552118;;TENENCIA;;;;;
3101;;SUBCOMISARÕA PEDRO LEON GALLO;LOS LOROS N∞ 1850;52 - 2 552165;;SUBCOMISARIA;;;;;
3101;;SUBCOMISARIA (C.O.P);AVDA. COPAYAPU 3302;522552160;;SUBCOMISARIA;;;;;
3101;;RETEN PAIPOTE;PEDRO AGUIRRE CERDA S/N;52 - 2 552121;;RETEN;;;;;
3102;;SUBCOMISARÕA CALDERA;BATALLONES DE ATACAMA N 307;52 - 2552125;;SUBCOMISARIA;;;;;
3103;;SUBCOMISARÕA TIERRA AMARILLA;MONSENOR MIGUEL LEMEUR S/N;52 - 2552123;;SUBCOMISARIA;;;;;
3103;;RETEN SACRAMENTO (F);FERROCARRIL S/N;52 - 2 552133;;RETEN;;;;;
3201;;1A. COMISARIA CHA—ARAL;LOS CARRERAS S/N;52 - 2 552066;;COMISARIA;;;;;
3201;;RETEN EL SALADO;PEDRO LUJAN N∞ 797;52 - 2 552086;;RETEN;;;;;
3202;;4A. COMISARÕA EL SALVADOR;AVENIDA POTRERILLOS SUR N 2502;52 - 2 552135;;COMISARIA;;;;;
3202;;SUBCOMISARÕA DIEGO DE ALMAGRO;JUAN MARTINEZ DE ROSA N∞ 1301;52 - 2552088;;SUBCOMISARIA;;;;;
3301;;3A COMISARÕA DE VALLENAR;SERRANO N 1196;52 - 2551244;;COMISARIA;;;;;
3301;;TENENCIA CARRETERA ATACAMA SUR;RUTA 5 NORTE KM 662;51 - 2 651296;;TENENCIA;;;;;
3301;;RETEN ALFREDO ROZAS BUGUE—O;MARTÕN GONZ¡LEZ N∞ 1745;55 - 2 651288;;RETEN;;;;;
3302;;TENENCIA ALTO DEL CARMEN;PADRE ALONSO GARCIA/PUENTE;51 - 2 651290;;TENENCIA;;;;;
3302;;RETEN EL TRANSITO;AVENIDA MATTA S/N;51 - 2 651293;;RETEN;;;;;
3302;;RETEN SAN FELIX (F);SERRANO S/N;51 - 2 651292;;RETEN;;;;;
3302;;RETEN CONAY (F);RUTA C-495, KM. 49,600;51 - 2 651295;;RETEN;;;;;
3303;;TENENCIA FREIRINA;RIO JANEIRO N∞ 861;51 - 2 651283;;TENENCIA;;;;;
3304;;SUBCOMISARÕA HUASCO (M);ARTURO PRAT N∞ 98;51 - 2 651275;;SUBCOMISARIA;;;;;
4101;;PREFECTURA DE CARABINEROS DE COQUIMBO;CIENFUEGOS N 180;51 - 2651015;;PREFECTURA;;;;;
4101;;IV ZONA DE CARABS. COQUIMBO;COLON N∞ 691;51 - 2 651000;;ZONA;;;;;
4101;;1A COMISARÌA LA SERENA;COLON N 720;51 - 2651081;;COMISARIA;;;;;
4101;;6A COMISARÕA DE LAS COMPA—IAS;CALLE MEXICO NRO. 2440;51 - 2651190;;COMISARIA;;;;;
4101;;3A. COMISARIA CONTROL ORDEN PUBLICO;JUAN JOSE LATORRE N¬∫ 415;51 - 2651220;;COMISARIA;;;;;
4101;;TENENCIA CARRETERA ELQUI;RUTA 5 NORTE KM. 540.555;51 - 2651110;;TENENCIA;;;;;
4101;;SUBCOMISARÕA LA FLORIDA;AV. 18 DE SEPTIEMBRE N∞ 4117;51 - 2 651103;;SUBCOMISARIA;;;;;
4101;;SUBCOMISARÕA I.A.T. LA SERENA;BALMACEDA N∞ 4828;51 - 2 651055;;SUBCOMISARIA;;;;;
4102;;TENENCIA TONGOY;AVENIDA. FUNDICI”N NORTE N∞ 107;51 - 2 651149;;TENENCIA;;;;;
4102;;RETEN GUANAQUEROS;FRITZ WILLY LINDENMANN N∞ 2380 GUANAQUEROS;51-2651158;;RETEN;;;;;
4102;;2A COMISARÕA DE COQUIMBO;CALLE TEGUALDA N 515;51 - 2651114;;COMISARIA;;;;;
4102;;SUBCOMISARÕA TIERRAS BLANCAS;AVENIDA. RENE SCHNEIDER N 528;51 - 2651140;;SUBCOMISARIA;;;;;
4102;;TENENCIA LA HERRADURA;LAS GAVIOTAS N∞ 186;51 - 2 651154;;TENENCIA;;;;;
4102;;TENENCIA COQUIMBO ORIENTE;AVENIDA. EL SAUCE N∞ 1109;51 - 2 651152;;TENENCIA;;;;;
4102;;TENENCIA LAS ENCINAS;RUBEN JIMENEZ S/N;51-2651159;;TENENCIA;;;;;
4102;;TENENCIA PE—UELAS;RUTA 5 S/N. CRUCE PENUELAS;51-2651135;;TENENCIA;;;;;
4102;;RETEN CERRO DEL VIGIA;CALLE ALONSO DE ERCILLA N∞ 418;65 - 2651160;;RETEN;;;;;
4103;;TENENCIA ANDACOLLO;DOMINGO SANTA MARÕA N∞ 509;51 - 2 651147;;TENENCIA;;;;;
4104;;RETEN LA HIGUERA;AV. LA PAZ S/N;51 - 2 651112;;RETEN;;;;;
4105;;TENENCIA PAIHUANO;BALMACEDA S/N;51 - 2 651186;;TENENCIA;;;;;
4105;;RETEN PISCO ELQUI (F);CENTENARIO S/N;51 - 2 651188;;RETEN;;;;;
4106;;5A. COMISARÕA VICU—A;AVENIDA LAS DELICIAS N 599;51 - 2651162;;COMISARIA;;;;;
4106;;TENENCIA JUNTAS DEL TORO;RUTA D-41 KM 147;51 - 2 651183;;TENENCIA;;;;;
4106;;RETEN EL MOLLE;AVENIDA ESTADIO S/N;51 - 2 651182;;RETEN;;;;;
4201;;4A. COMISARÕA DE ILLAPEL;BERNARDO O HIGGINS N 189;53 - 2453125;;COMISARIA;;;;;
4202;;TENENCIA CHOAPA MIXTA CARRETERAS;RUTA 5 NORTE KM 250;53 - 2 453156;;TENENCIA;;;;;
4202;;RETEN LA CANELA;ESTANISLAO OLLARZU N∞ 665;53 - 2 453168;;RETEN;;;;;
4203;;SUBCOMISARÕA LOS VILOS;CALLE TUCAPEL N∞ 599;53 - 2 453147;;SUBCOMISARIA;;;;;
4203;;RETEN PICHIDANGUI;CALLE LA RAYA N∞ 73;53 2 453155;;RETEN;;;;;
4204;;SUBCOMISARÕA SALAMANCA;BERNARDO O'HIGGINS N∞ 599;53 - 2 453159;;SUBCOMISARIA;;;;;
4204;;RETEN COIRON (F);18 DE SEPTIEMBRE S/N;53 - 2 453167;;RETEN;;;;;
4301;;3A. COMISARÕA OVALLE;TANGUE N 20;53 - 2 453000;;COMISARIA;;;;;
4301;;TENENCIA ASISTENCIAL DE MENORES OVALLE;LORD COCHRANE N 608, POBLACION ATENAS;53 - 2453089;;TENENCIA;;;;;
4301;;TENENCIA CARRETERA LIMARI;RUTA 5 NORTE KMS 389 CERRILLOS;53 - 2 453081;;TENENCIA;;;;;
4301;;RETEN CERRILLOS DE TAMAYA;ARTURO VILLALON S/N;53 - 2453086;;RETEN;;;;;
4302;;SUBCOMISARÕA COMBARBALA;PLAZA DE ARMAS N∞ 100;53 - 2 453068;;SUBCOMISARIA;;;;;
4302;;RETEN COGOTI (F);MANUEL RODRIGUEZ N 27;53 - 2 453076;;RETEN;;;;;
4303;;SUBCOMISARÕA MONTE PATRIA;CALLE PONIU N∞ 149;53 - 2 453051;;SUBCOMISARIA;;;;;
4303;;RETEN EL PALQUI;GALVARINO S/N;53 - 2 453064;;RETEN;;;;;
4303;;RETEN CHA—ARAL ALTO;LOS LIBERTADORES N∞ 81;53 - 2 453065;;RETEN;;;;;
4303;;RETEN LAS TORTOLAS (F);RUTA D-557 KM 31, CENTRAL LOS MOLLES;53 - 2 453060;;RETEN;;;;;
4303;;RETEN PEDREGAL (F);LAS DELICIAS S/N;53 - 2 453061;;RETEN;;;;;
4303;;RETEN TULAHUEN (F);AVENIDA VICU—A MACKENNA S/ TULAHUEN DE LA RUTA D-597 KM 43;53 - 2453062;;RETEN;;;;;
4304;;TENENCIA PUNITAQUI;CAUPOLICAN N∞ 1150;53 - 2 453078;;TENENCIA;;;;;
4305;;RETEN PICHASCA;RUTA D-595 KM 40, COMUNA DE RÕO HURTADO;53 - 2 453085;;RETEN;;;;;
4305;;RETEN HURTADO (F);CAUPOLIC¡N S/N, RUTA D-595 KM-71;53 - 2 453084;;RETEN;;;;;
5101;;1A. COMISARÕA VALPARAÕSO SUR;AGUAYO NÔøΩ 42, PLAYA ANCHA;32 - 2 3132098;;COMISARIA;;;;;
5101;;TENENCIA CORDILLERA;GUMERCINDO DÕAZ N∞ 1292;32 - 2 3132115;;TENENCIA;;;;;
5101;;2A. COMISARÕA VALPARAÕSO CENTRAL;AVENIDA. COLÔøΩN NÔøΩ 1823;32 - 2 3132119;;COMISARIA;;;;;
5101;;PREFECTURA VALPARAÕSO;BUENOS AIRES N∞ 750;32 3132013;;PREFECTURA;;;;;
5101;;V ZONA VALPARAÕSO;BUENOS AIRES N 750;32 - 3132000;;ZONA;;;;;
5101;;8A. COMISARÕA FLORIDA;MARIANO SERRATEA N 136, CERRO FLORIDA;32 - 3132247;;COMISARIA;;;;;
